	C	D	E	F	G	A	B
	C#	D#	E#	F#	G#	A#	B#
	Db	Eb	F	Gb	Ab	Bb	C
	D	E	F#	G	A	B	C#
//	D#	E#	F##	G#	A#	B#	C##
	D#	E#	G	G#	A#	C	D
	Eb	F	G	Ab	Bb	C	D
	E	F#	G#	A	B	C#	D#
//	E#	F##	G##	A#	B#	C##	D##
	E#	G	A	A#	B#	D	E
//	Fb	Gb	Ab	Bbb	Cb	Db	Eb
	Fb	Gb	Ab	A	Cb	Db	Eb
	F	G	A	Bb	C	D	E
	F#	G#	A#	B	C#	D#	E#
	Gb	Ab	Bb	Cb	Db	Eb	F
	G	A	B	C	D	E	F#
//	G#	A#	B#	C#	D#	E#	F##
	G#	A#	B#	C#	D#	E#	G
	Ab	Bb	C	Db	Eb	F	G
	A	B	C#	D	E	F#	G#
//	A#	B#	C##	D#	E#	F##	G##
	A#	B#	D	D#	E#	G	A
	Bb	C	D	Eb	F	G	A
	B	C#	D#	E	F#	G#	A#
	Cb	Db	Eb	Fb	Gb	Ab	Bb
//	B#	C##	D##	E#	F##	G##	A##
	B#	D	E	E#	G	A	B